Domain,Technique ID,Technique Name,Sentences
Enterprise,T1053,Scheduled Task/Job: Scheduled Task,APT39 has created scheduled tasks for persistence.[1][8][3]
Enterprise,T1113,Screen Capture,APT39 has used a screen capture utility to take screenshots on a compromised host.[9][3]
Enterprise,T1553,Subvert Trust Controls: Code Signing Policy Modification,APT39 has used malware to turn off the RequireSigned feature which ensures only signed DLLs can be run on Windows.[3]
Enterprise,T1033,System Owner/User Discovery,APT39 used Remexi to collect usernames from the system.[2]
Enterprise,T1569,System Services: Service Execution,APT39 has used post-exploitation tools including RemCom and the Non-sucking Service Manager (NSSM) to execute processes.[8][9]
Enterprise,T1204,User Execution: Malicious Link,APT39 has sent spearphishing emails in an attempt to lure users to click on a malicious link.[1][3]
Enterprise,T1204,User Execution: Malicious File,APT39 has sent spearphishing emails in an attempt to lure users to click on a malicious attachment.[1][8][9][3]
Enterprise,T1078,Valid Accounts,APT39 has used stolen credentials to compromise Outlook Web Access (OWA).[1]
Enterprise,T1102,Web Service: Bidirectional Communication,APT39 has communicated with C2 through files uploaded to and downloaded from DropBox.[8]
Enterprise,T1059,Command and Scripting Interpreter: PowerShell,DarkHydrus leveraged PowerShell to download and execute additional scripts for execution.[1][2]
Enterprise,T1564,Hide Artifacts: Hidden Window,DarkHydrus has used -WindowStyle Hidden to conceal PowerShell windows. [1]
Enterprise,T1588,Obtain Capabilities: Tool,"DarkHydrus has obtained and used tools such as Mimikatz, Empire, and Cobalt Strike.[1]"
Enterprise,T1566,Phishing: Spearphishing Attachment,"DarkHydrus has sent spearphishing emails with password-protected RAR archives containing malicious Excel Web Query files (.iqy). The group has also sent spearphishing emails that contained malicious Microsoft Office documents that use the ""attachedTemplate"" technique to load a template from a remote server.[1][3][2]"
Enterprise,T1204,User Execution: Malicious File,DarkHydrus has sent malware that required users to hit the enable button in Microsoft Excel to allow an .iqy file to be downloaded.[1][2]
Enterprise,T1071,Application Layer Protocol: Web Protocols,Gamaredon Group has used HTTP and HTTPS for C2 communications.[1][2][3][4][9][8]
Enterprise,T1547,Boot or Logon Autostart Execution: Registry Run Keys / Startup Folder,Gamaredon Group tools have registered Run keys in the registry to give malicious VBS files persistence.[2][3][9]
Enterprise,T1059,Command and Scripting Interpreter: PowerShell,Gamaredon Group has used obfuscated PowerShell scripts for staging.[5]
Enterprise,T1059,Command and Scripting Interpreter: Windows Command Shell,Gamaredon Group has used various batch scripts to establish C2 and download additional files. Gamaredon Group's backdoor malware has also been written to a batch file.[1][3][9][8]
Enterprise,T1059,Command and Scripting Interpreter: Visual Basic,"Gamaredon Group has embedded malicious macros in document templates, which executed VBScript. Gamaredon Group has also delivered Microsoft Outlook VBA projects with embedded macros.[2][3][9][5][7]"
Enterprise,T1005,Data from Local System,Gamaredon Group has collected files from infected systems and uploaded them to a C2 server.[3]
Enterprise,T1140,Deobfuscate/Decode Files or Information,Gamaredon Group tools decrypted additional payloads from the C2. Gamaredon Group has also decoded base64-encoded source code of a downloader.[2][3]
Enterprise,T1041,Exfiltration Over C2 Channel,A Gamaredon Group file stealer can transfer collected files to a hardcoded C2 server.[1]
Enterprise,T1083,File and Directory Discovery,Gamaredon Group macros can scan for Microsoft Word and Excel files to inject with additional malicious macros. Gamaredon Group has also used its backdoors to automatically list interesting files (such as Office documents) found on a system.[3][8]
Enterprise,T1564,Hide Artifacts: Hidden Window,Gamaredon Group has used hidcon to run batch files in a hidden console window.[8]
Enterprise,T1562,Impair Defenses: Disable or Modify Tools,Gamaredon Group has delivered macros which can tamper with Microsoft Office security settings.[3]
Enterprise,T1070,Indicator Removal on Host: File Deletion,Gamaredon Group tools can delete files used during an operation.[2][4][9]
Enterprise,T1105,Ingress Tool Transfer,Gamaredon Group has downloaded additional malware and tools onto a compromised host.[1][2][3][5]
Enterprise,T1036,Masquerading: Match Legitimate Name or Location,Gamaredon Group has used legitimate process names to hide malware including svchosst.[8]
Enterprise,T1112,Modify Registry,Gamaredon Group has removed security settings for VBA macro execution by changing registry values HKCU\Software\Microsoft\Office\<version>\<product>\Security\VBAWarnings and HKCU\Software\Microsoft\Office\<version>\<product>\Security\AccessVBOM.[3][9]
Enterprise,T1106,Native API,Gamaredon Group malware has used CreateProcess to launch additional malicious components.[3]
Enterprise,T1027,Obfuscated Files or Information,"Gamaredon Group has delivered self-extracting 7z archive files within malicious document attachments, and used obfuscated or encrypted scripts.[3][4][9][5][8]"
Enterprise,T1027,Binary Padding,Gamaredon Group has obfuscated .NET executables by inserting junk code.[3]
Enterprise,T1027,Compile After Delivery,Gamaredon Group has compiled the source code for a downloader directly on the infected system using the built-in Microsoft.CSharp.CSharpCodeProvider class.[3]
Enterprise,T1566,Phishing: Spearphishing Attachment,Gamaredon Group has delivered spearphishing emails with malicious attachments to targets.[2][3][9][5][8][7]
Enterprise,T1057,Process Discovery,Gamaredon Group has used tools to enumerate processes on target hosts including Process Explorer.[4][8]
Enterprise,T1021,Remote Services: VNC,"Gamaredon Group has used VNC tools, including UltraVNC, to remotely interact with compromised hosts.[4][5][8]"
Enterprise,T1053,Scheduled Task/Job: Scheduled Task,Gamaredon Group has created scheduled tasks to launch executables after a designated number of minutes have passed.[3][9][5]
Enterprise,T1113,Screen Capture,Gamaredon Group's malware can take screenshots of the compromised computer every minute.[3]
Enterprise,T1218,System Binary Proxy Execution: Mshta,Gamaredon Group has used mshta.exe to execute malicious HTA files.[4]
Enterprise,T1218,System Binary Proxy Execution: Rundll32,Gamaredon Group malware has used rundll32 to launch additional malicious components.[3]
Enterprise,T1082,System Information Discovery,A Gamaredon Group file stealer can gather the victim's computer name and drive serial numbers to send to a C2 server.[1][2][9]
Enterprise,T1016,System Network Configuration Discovery: Internet Connection Discovery,Gamaredon Group has tested connectivity between a compromised machine and a C2 server using Ping with commands such as CSIDL_SYSTEM\cmd.exe /c ping -n 1.[4]
Enterprise,T1033,System Owner/User Discovery,A Gamaredon Group file stealer can gather the victim's username to send to a C2 server.[1]
Enterprise,T1204,User Execution: Malicious File,Gamaredon Group has attempted to get users to click on Office attachments with malicious macros embedded.[2][3][4][9][5][8][7]
Enterprise,T1102,Web Service,Gamaredon Group has used GitHub repositories for downloaders which will be obtained by the group's .NET executable on the compromised system.[3]
Enterprise,T1047,Windows Management Instrumentation,Gamaredon Group has used WMI to execute scripts used for discovery.[9]
Enterprise,T1059,Command and Scripting Interpreter,Whitefly has used a simple remote shell tool that will call back to the C2 server and wait for commands.[1]
Enterprise,T1574,Hijack Execution Flow: DLL Search Order Hijacking,Whitefly has used search order hijacking to run the loader Vcrodat.[1]
Enterprise,T1105,Ingress Tool Transfer,Whitefly has the ability to download additional tools from the C2.[1]
Enterprise,T1036,Masquerading: Match Legitimate Name or Location,Whitefly has named the malicious DLL the same name as DLLs belonging to legitimate software from various security vendors.[1]
Enterprise,T1027,Obfuscated Files or Information,Whitefly has encrypted the payload used for C2.[1]
Enterprise,T1588,Obtain Capabilities: Tool,Whitefly has obtained and used tools such as Mimikatz.[1]
Enterprise,T1003,OS Credential Dumping: LSASS Memory,Whitefly has used Mimikatz to obtain credentials.[1]
Enterprise,T1204,User Execution: Malicious File,Whitefly has used malicious .exe or .dll files disguised as documents or images.[1]
Enterprise,T1071,Application Layer Protocol: Web Protocols,Higaisa used HTTP and HTTPS to send data back to its C2 server.[1][2]
Enterprise,T1547,Boot or Logon Autostart Execution: Registry Run Keys / Startup Folder,Higaisa added a spoofed binary to the start-up folder for persistence.[1][2]
Enterprise,T1059,Command and Scripting Interpreter: Windows Command Shell,Higaisa used cmd.exe for execution.[1][2][3]
Enterprise,T1059,Command and Scripting Interpreter: Visual Basic,Higaisa has used VBScript code on the victim's machine.[3]
Enterprise,T1059,Command and Scripting Interpreter: JavaScript,Higaisa used JavaScript to execute additional files.[1][2][3]
Enterprise,T1140,Deobfuscate/Decode Files or Information,Higaisa used certutil to decode Base64 binaries at runtime and a 16-byte XOR key to decrypt data.[1][2]
Enterprise,T1573,Encrypted Channel: Symmetric Cryptography,Higaisa used AES-128 to encrypt C2 traffic.[2]
Enterprise,T1041,Exfiltration Over C2 Channel,Higaisa exfiltrated data over its C2 channel.[2]
Enterprise,T1564,Hide Artifacts: Hidden Window,Higaisa used a payload that creates a hidden window.[3]
Enterprise,T1574,Hijack Execution Flow: DLL Side-Loading,Higaisa’s JavaScript file used a legitimate Microsoft Office 2007 package to side-load the OINFO12.OCX dynamic link library.[3]
Enterprise,T1036,Masquerading: Masquerade Task or Service,Higaisa named a shellcode loader binary svchast.exe to spoof the legitimate svchost.exe.[1][2]
Enterprise,T1106,Native API,Higaisa has called various native OS APIs.[2]
Enterprise,T1027,Obfuscated Files or Information,Higaisa used Base64 encoded compressed payloads.[1][2]
Enterprise,T1027,Binary Padding,Higaisa performed padding with null bytes before calculating its hash.[2]
Enterprise,T1566,Phishing: Spearphishing Attachment,Higaisa has sent spearphishing emails containing malicious attachments.[1][2]
Enterprise,T1057,Process Discovery,Higaisa’s shellcode attempted to find the process ID of the current process.[2]
Enterprise,T1090,Proxy: Internal Proxy,Higaisa discovered system proxy settings and used them if available.[2]
Enterprise,T1053,Scheduled Task/Job: Scheduled Task,Higaisa dropped and added officeupdate.exe to scheduled tasks.[1][2]
Enterprise,T1082,System Information Discovery,"Higaisa collected the system volume serial number, GUID, and computer name.[3][1]"
Enterprise,T1016,System Network Configuration Discovery,Higaisa used ipconfig to gather network configuration information.[1][2]
Enterprise,T1124,System Time Discovery,Higaisa used a function to gather the current time.[2]
Enterprise,T1204,User Execution: Malicious File,Higaisa used malicious e-mail attachments to lure victims into executing LNK files.[1][2]
Enterprise,T1564,Hide Artifacts: Hidden File System,Strider has used a hidden file system that is stored as a file on disk.[3]
Enterprise,T1090,Proxy: Internal Proxy,Strider has used local servers with both local network and Internet access to act as internal proxy nodes to exfiltrate data from other parts of the network without direct Internet access.[2]
Enterprise,T1087,Account Discovery: Local Account,admin@338 actors used the following commands following exploitation of a machine with LOWBALL malware to enumerate user accounts: net user >> %temp%\download net user /domain >> %temp%\download[1]
Enterprise,T1059,Command and Scripting Interpreter: Windows Command Shell,"Following exploitation with LOWBALL malware, admin@338 actors created a file containing a list of commands to be executed on the compromised computer.[1]"
Enterprise,T1083,File and Directory Discovery,"admin@338 actors used the following commands after exploiting a machine with LOWBALL malware to obtain information about files and directories: dir c:\ >> %temp%\download dir ""c:\Documents and Settings"" >> %temp%\download dir ""c:\Program Files\"" >> %temp%\download dir d:\ >> %temp%\download[1]"
Enterprise,T1036,Masquerading: Match Legitimate Name or Location,"admin@338 actors used the following command to rename one of their tools to a benign file name: ren ""%temp%\upload"" audiodg.exe[1]"
Enterprise,T1069,Permission Groups Discovery: Local Groups,admin@338 actors used the following command following exploitation of a machine with LOWBALL malware to list local groups: net localgroup administrator >> %temp%\download[1]
Enterprise,T1566,Phishing: Spearphishing Attachment,admin@338 has sent emails with malicious Microsoft Office documents attached.[1]
Enterprise,T1082,System Information Discovery,admin@338 actors used the following commands after exploiting a machine with LOWBALL malware to obtain information about the OS: ver >> %temp%\download systeminfo >> %temp%\download[1]
Enterprise,T1016,System Network Configuration Discovery,admin@338 actors used the following command after exploiting a machine with LOWBALL malware to acquire information about local networks: ipconfig /all >> %temp%\download[1]
Enterprise,T1049,System Network Connections Discovery,admin@338 actors used the following command following exploitation of a machine with LOWBALL malware to display network connections: netstat -ano >> %temp%\download[1]
Enterprise,T1204,User Execution: Malicious File,admin@338 has attempted to get victims to launch malicious Microsoft Word attachments delivered via spearphishing emails.[1]
Enterprise,T1588,Obtain Capabilities: Tool,CostaRicto has obtained open source tools to use in their operations.[1]
Enterprise,T1090,Proxy: Multi-hop Proxy,CostaRicto has used a layer of proxies to manage C2 communications.[1]
Enterprise,T1053,Scheduled Task/Job: Scheduled Task,CostaRicto has used scheduled tasks to download backdoor tools.[1]
Enterprise,T1071,Application Layer Protocol: DNS,"FIN7 has performed C2 using DNS via A, OPT, and TXT records.[4]"
Enterprise,T1547,Boot or Logon Autostart Execution: Registry Run Keys / Startup Folder,"FIN7 malware has created Registry Run and RunOnce keys to establish persistence, and has also added items to the Startup folder.[2][4]"
Enterprise,T1059,Command and Scripting Interpreter,FIN7 used SQL scripts to help perform tasks on the victim's machine.[4][9][4]
Enterprise,T1059,PowerShell,FIN7 used a PowerShell script to launch shellcode that retrieved an additional payload.[2][10][11]
Enterprise,T1059,Windows Command Shell,FIN7 used the command prompt to launch commands on the victim’s machine.[4][9]
Enterprise,T1059,Visual Basic,FIN7 used VBS scripts to help perform tasks on the victim's machine.[4][9][5]
Enterprise,T1059,JavaScript,FIN7 used JavaScript scripts to help perform tasks on the victim's machine.[4][9][4]
Enterprise,T1543,Create or Modify System Process: Windows Service,FIN7 created new Windows services and added them to the startup directories for persistence.[4]
Enterprise,T1005,Data from Local System,FIN7 has collected files and other sensitive information from a compromised network.[5]
Enterprise,T1105,Ingress Tool Transfer,"FIN7 has downloaded additional malware to execute on the victim's machine, including by using a PowerShell script to launch shellcode that retrieves an additional payload.[2][15]"
Enterprise,T1036,Masquerading: Masquerade Task or Service,"FIN7 has created a scheduled task named ""AdobeFlashSync"" to establish persistence.[10]"
Enterprise,T1036,Masquerading: Match Legitimate Name or Location,FIN7 has attempted to run Darkside ransomware with the filename sleep.exe.[5]
Enterprise,T1027,Obfuscated Files or Information,"FIN7 has used fragmented strings, environment variables, standard input (stdin), and native character-replacement functionalities to obfuscate commands.[17][4][5]"
Enterprise,T1566,Phishing: Spearphishing Attachment,FIN7 sent spearphishing emails with either malicious Microsoft Documents or RTF files attached.[2][15][9][8][5]
Enterprise,T1566,Phishing: Spearphishing Link,FIN7 has conducted broad phishing campaigns using malicious links.[5]
Enterprise,T1021,Remote Services: Remote Desktop Protocol,FIN7 has used RDP to move laterally in victim environments.[5]
Enterprise,T1021,Remote Services: SSH,FIN7 has used SSH to move laterally through victim environments.[5]
Enterprise,T1021,Remote Services: VNC,FIN7 has used TightVNC to control compromised hosts.[5]
Enterprise,T1053,Scheduled Task/Job: Scheduled Task,FIN7 malware has created scheduled tasks to establish persistence.[2][10][4][9]
Enterprise,T1113,Screen Capture,FIN7 captured screenshots and desktop video recordings.[15]
Enterprise,T1553,Subvert Trust Controls: Code Signing,"FIN7 has signed Carbanak payloads with legally purchased code signing certificates. FIN7 has also digitally signed their phishing documents, backdoors and other staging tools to bypass security controls.[3][4]"
Enterprise,T1218,System Binary Proxy Execution: Mshta,FIN7 has used mshta.exe to execute VBScript to execute malicious code on victim systems.[2]
Enterprise,T1204,User Execution: Malicious Link,FIN7 has used malicious links to lure victims into downloading malware.[5]
Enterprise,T1204,User Execution: Malicious File,FIN7 lured victims to double-click on images in the attachments they sent which would then execute the hidden LNK file.[2][8][5]
Enterprise,T1078,Valid Accounts,FIN7 has harvested valid administrative credentials for lateral movement.[5]
Enterprise,T1497,Virtualization/Sandbox Evasion: User Activity Based Checks,FIN7 used images embedded into document lures that only activate the payload when a user double clicks to avoid sandboxes.[2]
Enterprise,T1102,Web Service: Bidirectional Communication,"FIN7 used legitimate services like Google Docs, Google Scripts, and Pastebin for C2.[4]"
Enterprise,T1047,Windows Management Instrumentation,FIN7 has used WMI to install malware on targeted systems.[8]
Enterprise,T1555,Credentials from Password Stores: Credentials from Web Browsers,"Ajax Security Team has used FireMalv custom-developed malware, which collected passwords from the Firefox browser storage.[2]"
Enterprise,T1105,Ingress Tool Transfer,"Ajax Security Team has used Wrapper/Gholee, custom-developed malware, which downloaded additional malware to the infected system.[2]"
Enterprise,T1056,Input Capture: Keylogging,"Ajax Security Team has used CWoolger and MPK, custom-developed malware, which recorded all keystrokes on an infected system.[2]"
Enterprise,T1566,Phishing: Spearphishing Attachment,Ajax Security Team has used personalized spearphishing attachments.[2]
Enterprise,T1566,Phishing: Spearphishing via Service,Ajax Security Team has used various social media channels to spearphish victims.[1]
Enterprise,T1204,User Execution: Malicious File,Ajax Security Team has lured victims into executing malicious files.[1]
Enterprise,T1566,Phishing: Spearphishing Attachment,APT30 has used spearphishing emails with malicious DOC attachments.[1]
Enterprise,T1204,User Execution: Malicious File,APT30 has relied on users to execute malicious file attachments delivered via spearphishing emails.[1]
Enterprise,T1560,Archive Collected Data: Archive via Utility,"Gallmaker has used WinZip, likely to archive data prior to exfiltration.[1]"
Enterprise,T1059,Command and Scripting Interpreter: PowerShell,Gallmaker used PowerShell to download additional payloads and for execution.[1]
Enterprise,T1027,Obfuscated Files or Information,Gallmaker obfuscated shellcode used during execution.[1]
Enterprise,T1566,Phishing: Spearphishing Attachment,Gallmaker sent emails with malicious Microsoft Office documents attached.[1]
Enterprise,T1204,User Execution: Malicious File,"Gallmaker sent victims a lure document with a warning that asked victims to ""enable content"" for execution.[1]"
Enterprise,T1071,Application Layer Protocol,TeamTNT has used an IRC bot for C2 communications.[6]
Enterprise,T1071,Web Protocols,TeamTNT has the curl command to send credentials over HTTP and download new software.[3][4] TeamTNT has also used a custom user agent HTTP header in shell scripts.[6]
Enterprise,T1547,Boot or Logon Autostart Execution: Registry Run Keys / Startup Folder,TeamTNT has added batch scripts to the startup folder.[7]
Enterprise,T1059,Command and Scripting Interpreter: PowerShell,TeamTNT has executed PowerShell commands in batch scripts.[7]
Enterprise,T1059,Command and Scripting Interpreter: Windows Command Shell,TeamTNT has used batch scripts to download tools and executing cryptocurrency miners.[7]
Enterprise,T1059,Command and Scripting Interpreter: Unix Shell,TeamTNT has used shell scripts for execution.[6]
Enterprise,T1543,Create or Modify System Process: Systemd Service,TeamTNT has established persistence through the creation of a cryptocurrency mining system service.[6]
Enterprise,T1543,Create or Modify System Process: Windows Service,TeamTNT uses malware that adds cryptocurrency miners as a service.[7]
Enterprise,T1562,Impair Defenses: Disable or Modify Tools,TeamTNT has disabled and uninstalled security tools.[7]
Enterprise,T1562,Impair Defenses: Disable or Modify System Firewall,TeamTNT has disabled iptables.[8]
Enterprise,T1070,Indicator Removal on Host: Clear Linux or Mac System Logs,TeamTNT has removed system logs from /var/log/syslog.[8]
Enterprise,T1070,Indicator Removal on Host: Clear Command History,TeamTNT has cleared command history with history -c.[6]
Enterprise,T1070,Indicator Removal on Host: File Deletion,TeamTNT uses a payload that removes itself after running.[7]
Enterprise,T1105,Ingress Tool Transfer,TeamTNT has the curl command and batch scripts to download new tools.[3]
Enterprise,T1027,Obfuscated Files or Information,TeamTNT has encrypted its binaries via AES.[6] TeamTNT has also encoded files using Base64.[8]
Enterprise,T1027,Software Packing,TeamTNT has used UPX and Ezuri packer to pack its binaries.[6]
Enterprise,T1057,Process Discovery,TeamTNT searches for rival malware and removes them if found.[6]
Enterprise,T1021,Remote Services: SSH,TeamTNT has used SSH to connect back to victim machines.[3]
Enterprise,T1518,Software Discovery: Security Software Discovery,TeamTNT has searched for security products on infected machines.[7]
Enterprise,T1082,System Information Discovery,TeamTNT has searched for system version and architecture information.[7]
Enterprise,T1016,System Network Configuration Discovery,TeamTNT looks for the host machine’s IP address.[6]
Enterprise,T1049,System Network Connections Discovery,TeamTNT runs netstat -anp to search for rival malware connections.[6] TeamTNT has also used libprocesshider to modify /etc/ld.so.preload.[7]
Enterprise,T1204,User Execution: Malicious Image,TeamTNT relies on users to download and execute malicious Docker images.[2]
Enterprise,T1102,Web Service,TeamTNT has leveraged iplogger.org to send collected data back to C2.[8]
Enterprise,T1071,Application Layer Protocol: Web Protocols,TA551 has used HTTP for C2 communications.[3]
Enterprise,T1059,Command and Scripting Interpreter: Windows Command Shell,TA551 has used cmd.exe to execute commands.[2]
Enterprise,T1132,Data Encoding: Standard Encoding,TA551 has used encoded ASCII text for initial C2 communications.[3]
Enterprise,T1105,Ingress Tool Transfer,TA551 has retrieved DLLs and installer binaries for malware execution from C2.[2]
Enterprise,T1036,Masquerading,TA551 has masked malware DLLs as dat and jpg files.[2]
Enterprise,T1027,Obfuscated Files or Information,TA551 has used obfuscated variable names in a JavaScript configuration file.[3]
Enterprise,T1027,Steganography,TA551 has hidden encoded data for malware DLLs in a PNG.[2]
Enterprise,T1566,Phishing: Spearphishing Attachment,TA551 has sent spearphishing attachments with password protected ZIP files.[3][2][1]
Enterprise,T1218,System Binary Proxy Execution: Mshta,TA551 has used mshta.exe to execute malicious payloads.[2]
Enterprise,T1218,System Binary Proxy Execution: Regsvr32,TA551 has used regsvr32.exe to load malicious DLLs.[3]
Enterprise,T1218,System Binary Proxy Execution: Rundll32,TA551 has used rundll32.exe to load malicious DLLs.[2]
Enterprise,T1204,User Execution: Malicious File,TA551 has prompted users to enable macros within spearphishing attachments to install malware.[2]
Enterprise,T1087,Account Discovery: Domain Account,MuddyWater has used cmd.exe net user /domain to enumerate domain users.[6]
Enterprise,T1071,Application Layer Protocol: Web Protocols,MuddyWater has used HTTP for C2 communications.[4][6]
Enterprise,T1560,Archive Collected Data: Archive via Utility,"MuddyWater has used the native Windows cabinet creation tool, makecab.exe, likely to compress stolen data to be uploaded.[2]"
Enterprise,T1547,Boot or Logon Autostart Execution: Registry Run Keys / Startup Folder,MuddyWater has added Registry Run key KCU\Software\Microsoft\Windows\CurrentVersion\Run\SystemTextEncoding to establish persistence.[8][9][10][5][6]
Enterprise,T1059,Command and Scripting Interpreter: PowerShell,MuddyWater has used PowerShell for execution.[8][11][9][2][3][10][5][6]
Enterprise,T1059,Command and Scripting Interpreter: Windows Command Shell,MuddyWater has used a custom tool for creating reverse shells.[2]
Enterprise,T1059,Command and Scripting Interpreter: Visual Basic,"MuddyWater has used VBScript files to execute its POWERSTATS payload, as well as macros.[8][11][9][2][3][4][5][6]"
Enterprise,T1059,Command and Scripting Interpreter: Python,MuddyWater has used developed tools in Python including Out1.[6]
Enterprise,T1059,Command and Scripting Interpreter: JavaScript,MuddyWater has used JavaScript files to execute its POWERSTATS payload.[3][8]
Enterprise,T1555,Credentials from Password Stores,"MuddyWater has performed credential dumping with LaZagne and other tools, including by dumping passwords saved in victim email.[1][2][6]"
Enterprise,T1555,Credentials from Web Browsers,MuddyWater has run tools including Browser64 to steal passwords saved in victim web browsers.[2][6]
Enterprise,T1132,Data Encoding: Standard Encoding,MuddyWater has used tools to encode C2 communications including Base64 encoding.[4][6]
Enterprise,T1140,Deobfuscate/Decode Files or Information,MuddyWater decoded base64-encoded PowerShell commands using a VBS file.[8][11][3]
Enterprise,T1041,Exfiltration Over C2 Channel,MuddyWater has used C2 infrastructure to receive exfiltrated data.[5]
Enterprise,T1083,File and Directory Discovery,"MuddyWater has used malware that checked if the ProgramData folder had folders or files with the keywords ""Kasper,"" ""Panda,"" or ""ESET.""[9]"
Enterprise,T1562,Impair Defenses: Disable or Modify Tools,MuddyWater can disable the system's local proxy settings.[6]
Enterprise,T1105,Ingress Tool Transfer,MuddyWater has used malware that can upload additional files to the victim’s machine.[9][3][5][6]
Enterprise,T1036,Masquerading: Match Legitimate Name or Location,MuddyWater has disguised malicious executables and used filenames and Registry key names associated with Windows Defender.[8][10][7]
Enterprise,T1027,Obfuscated Files or Information,"MuddyWater has used Daniel Bohannon’s Invoke-Obfuscation framework and obfuscated PowerShell scripts.[1][12] The group has also used other obfuscation methods, including Base64 obfuscation of VBScripts and PowerShell commands.[1][8][9][10][4][6]"
Enterprise,T1027,Steganography,MuddyWater has stored obfuscated JavaScript code in an image file named temp.jpg.[3]
Enterprise,T1027,Compile After Delivery,MuddyWater has used the .NET csc.exe tool to compile executables from downloaded C# code.[3]
Enterprise,T1588,Obtain Capabilities: Tool,MuddyWater has made use of legitimate tools ConnectWise and RemoteUtilities for access to target environments.[7]
Enterprise,T1003,OS Credential Dumping: LSASS Memory,MuddyWater has performed credential dumping with Mimikatz and procdump64.exe.[1][2][6]
Enterprise,T1003,OS Credential Dumping: LSA Secrets,MuddyWater has performed credential dumping with LaZagne.[1][2]
Enterprise,T1003,OS Credential Dumping: Cached Domain Credentials,MuddyWater has performed credential dumping with LaZagne.[1][2]
Enterprise,T1566,Phishing: Spearphishing Attachment,MuddyWater has compromised third parties and used compromised accounts to send spearphishing emails with targeted attachments to recipients.[1][8][9][4][7][6]
Enterprise,T1566,Phishing: Spearphishing Link,MuddyWater has sent targeted spearphishing e-mails with malicious links.[7][6]
Enterprise,T1057,Process Discovery,MuddyWater has used malware to obtain a list of running processes on the system.[9][4]
Enterprise,T1090,Proxy: External Proxy,MuddyWater has controlled POWERSTATS from behind a proxy network to obfuscate the C2 location.[2] MuddyWater has used a series of compromised websites that victims connected to randomly to relay information to command and control (C2).[5][6]
Enterprise,T1053,Scheduled Task/Job: Scheduled Task,MuddyWater has used scheduled tasks to establish persistence.[5]
Enterprise,T1113,Screen Capture,MuddyWater has used malware that can capture screenshots of the victim’s machine.[9]
Enterprise,T1518,Software Discovery,MuddyWater has used a PowerShell backdoor to check for Skype connectivity on the target machine.[6]
Enterprise,T1518,Security Software Discovery,MuddyWater has used malware to check running processes against a hard-coded list of security tools often used by malware researchers.[9]
Enterprise,T1218,System Binary Proxy Execution: CMSTP,MuddyWater has used CMSTP.exe and a malicious INF to execute its POWERSTATS payload.[8]
Enterprise,T1218,System Binary Proxy Execution: Mshta,MuddyWater has used mshta.exe to execute its POWERSTATS payload and to pass a PowerShell one-liner for execution.[8][9]
Enterprise,T1218,System Binary Proxy Execution: Rundll32,MuddyWater has used malware that leveraged rundll32.exe in a Registry Run key to execute a .dll.[9]
Enterprise,T1082,System Information Discovery,MuddyWater has used malware that can collect the victim’s OS version and machine name.[9][10][5][6]
Enterprise,T1016,System Network Configuration Discovery,MuddyWater has used malware to collect the victim’s IP address and domain name.[9]
Enterprise,T1049,System Network Connections Discovery,MuddyWater has used a PowerShell backdoor to check for Skype connections on the target machine.[6]
Enterprise,T1033,System Owner/User Discovery,MuddyWater has used malware that can collect the victim’s username.[9][6]
Enterprise,T1204,User Execution: Malicious Link,MuddyWater has distributed URLs in phishing e-mails that link to lure documents.[7][6]
Enterprise,T1204,User Execution: Malicious File,MuddyWater has attempted to get users to enable macros and launch malicious Microsoft Word documents delivered via spearphishing emails.[1][8][9][10][4][5][7][6]
Enterprise,T1102,Web Service: Bidirectional Communication,MuddyWater has used web services including OneHub to distribute remote access tools.[7]
Enterprise,T1047,Windows Management Instrumentation,MuddyWater has used malware that leveraged WMI for execution and querying host information.[9][3][10]
Enterprise,T1087,Account Discovery: Local Account,Turla has used net user to enumerate local accounts on the system.[12][13]
Enterprise,T1087,Account Discovery: Domain Account,Turla has used net user /domain to enumerate domain accounts.[12]
Enterprise,T1071,Application Layer Protocol: Web Protocols,Turla has used HTTP and HTTPS for C2 communications.[4][14]
Enterprise,T1071,Application Layer Protocol: Mail Protocols,Turla has used multiple backdoors which communicate with a C2 server via email attachments.[15]
Enterprise,T1560,Archive Collected Data: Archive via Utility,Turla has encrypted files stolen from connected USB drives into a RAR file before exfiltration.[16]
Enterprise,T1547,Boot or Logon Autostart Execution: Registry Run Keys / Startup Folder,"A Turla Javascript backdoor added a local_update_check value under the Registry key HKLM\SOFTWARE\Microsoft\Windows\CurrentVersion\Run to establish persistence. Additionally, a Turla custom executable containing Metasploit shellcode is saved to the Startup folder to gain persistence.[4][14]"
Enterprise,T1547,Boot or Logon Autostart Execution: Winlogon Helper DLL,Turla established persistence by adding a Shell value under the Registry key HKCU\Software\Microsoft\Windows NT\CurrentVersion\Winlogon.[4]
Enterprise,T1059,Command and Scripting Interpreter: PowerShell,"Turla has used PowerShell to execute commands/scripts, in some cases via a custom executable or code from Empire's PSInject.[14][11][16] Turla has also used PowerShell scripts to load and execute malware in memory."
Enterprise,T1059,Command and Scripting Interpreter: Windows Command Shell,Turla RPC backdoors have used cmd.exe to execute commands.[11][16]
Enterprise,T1059,Command and Scripting Interpreter: Visual Basic,Turla has used VBS scripts throughout its operations.[16]
